       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0   CStarAt0   CStarTr0      Sal00       Spar        Par      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM
   2467.892     2.9342     2.9337   3.259227   3.258820     2.1695     0.0350     0.9200     0.1264    96.8902    34.9245 1.8938e+03 9.5400e-02   2432.000    34.9245    34.9202     6.1174    1503.05
   2466.871     2.9343     2.9341   3.259199   3.258822     2.1700     0.0405     0.9186     0.1264    96.8902    34.9246 1.8644e+03 9.5400e-02   2431.000    34.9246    34.9203     6.1186    1503.04
   2465.851     2.9342     2.9333   3.259139   3.258702     2.1704     0.0281     0.9297     0.1264    96.8887    34.9244 1.8592e+03 9.5400e-02   2430.000    34.9244    34.9201     6.1191    1503.02
   2464.830     2.9345     2.9345   3.259125   3.258741     2.1706     0.0249     0.9307     0.1264    96.8886    34.9244 1.8667e+03 9.5400e-02   2429.000    34.9244    34.9198     6.1190    1503.00
   2463.809     2.9349     2.9351   3.259120   3.258751     2.1705     0.0345     0.9203     0.1264    96.8901    34.9243 1.8719e+03 9.5400e-02   2428.000    34.9243    34.9198     6.1178    1502.99
   2462.789     2.9364     2.9364   3.259188   3.258816     2.1710     0.0428     0.9200     0.1267    96.8824    34.9241 1.8751e+03 9.5400e-02   2427.000    34.9241    34.9196     6.1186    1502.98
   2461.768     2.9380     2.9378   3.259273   3.258885     2.1705     0.0471     0.9200     0.1264    96.8904    34.9239 1.8763e+03 9.5400e-02   2426.000    34.9239    34.9194     6.1157    1502.97
   2460.748     2.9389     2.9395   3.259309   3.258987     2.1716     0.0370     0.9263     0.1264    96.8902    34.9239 1.8725e+03 9.5400e-02   2425.000    34.9239    34.9193     6.1190    1502.95
   2459.727     2.9397     2.9399   3.259337   3.258993     2.1717     0.0349     0.9261     0.1264    96.8902    34.9238 1.8661e+03 9.5400e-02   2424.000    34.9238    34.9195     6.1183    1502.94
   2458.706     2.9395     2.9401   3.259296   3.258967     2.1720     0.0348     0.9317     0.1264    96.8902    34.9240 1.8562e+03 9.5400e-02   2423.000    34.9240    34.9194     6.1188    1502.92
   2457.686     2.9406     2.9406   3.259337   3.258964     2.1718     0.0348     0.9321     0.1264    96.8902    34.9238 1.8498e+03 9.5400e-02   2422.000    34.9238    34.9193     6.1170    1502.91
   2456.665     2.9414     2.9413   3.259375   3.258986     2.1722     0.0452     0.9222     0.1264    96.8902    34.9239 1.8426e+03 9.5400e-02   2421.000    34.9239    34.9194     6.1176    1502.89
   2455.645     2.9414     2.9417   3.259356   3.259008     2.1731     0.0376     0.9249     0.1264    96.8898    34.9241 1.8251e+03 9.5400e-02   2420.000    34.9241    34.9197     6.1201    1502.88
   2454.624     2.9414     2.9415   3.259290   3.258932     2.1734     0.0347     0.9197     0.1264    96.8902    34.9239 1.7382e+03 9.5400e-02   2419.000    34.9239    34.9194     6.1205    1502.86
   2453.604     2.9420     2.9422   3.259290   3.258954     2.1734     0.0348     0.9200     0.1264    96.8902    34.9237 1.7273e+03 9.5400e-02   2418.000    34.9237    34.9195     6.1196    1502.84
   2452.583     2.9427     2.9427   3.259323   3.258948     2.1734     0.0348     0.9261     0.1264    96.8902    34.9238 1.7161e+03 9.5400e-02   2417.000    34.9238    34.9193     6.1186    1502.83
   2451.563     2.9434     2.9435   3.259347   3.258985     2.1735     0.0348     0.9274     0.1265    96.8872    34.9238 1.7073e+03 9.5400e-02   2416.000    34.9238    34.9194     6.1182    1502.82
   2450.542     2.9442     2.9447   3.259391   3.259011     2.1734     0.0348     0.9274     0.1264    96.8902    34.9239 1.7011e+03 9.5400e-02   2415.000    34.9239    34.9189     6.1167    1502.80
   2449.521     2.9459     2.9463   3.259490   3.259123     2.1740     0.0348     0.9260     0.1264    96.8902    34.9238 1.6997e+03 9.5400e-02   2414.000    34.9238    34.9190     6.1181    1502.79
   2448.501     2.9469     2.9453   3.259544   3.259036     2.1739     0.0348     0.9271     0.1265    96.8879    34.9239 1.7011e+03 9.5400e-02   2413.000    34.9239    34.9196     6.1166    1502.78
   2447.480     2.9467     2.9468   3.259500   3.259138     2.1747     0.0348     0.9265     0.1264    96.8901    34.9241 1.7057e+03 9.5400e-02   2412.000    34.9241    34.9196     6.1189    1502.76
   2446.460     2.9486     2.9476   3.259633   3.259189     2.1760     0.0377     0.9258     0.1264    96.8902    34.9241 1.7326e+03 9.5400e-02   2411.000    34.9241    34.9199     6.1229    1502.75
   2445.439     2.9451     2.9452   3.259268   3.258907     2.1760     0.0221     0.9197     0.1264    96.8902    34.9240 1.7548e+03 9.5400e-02   2410.000    34.9240    34.9195     6.1228    1502.72
   2444.419     2.9460     2.9456   3.259297   3.258899     2.1759     0.0351     0.9276     0.1264    96.8902    34.9238 1.7578e+03 9.5400e-02   2409.000    34.9238    34.9194     6.1211    1502.71
   2443.398     2.9466     2.9468   3.259318   3.258941     2.1759     0.0348     0.9271     0.1268    96.8788    34.9239 1.7620e+03 9.5400e-02   2408.000    34.9239    34.9192     6.1202    1502.69
   2442.378     2.9475     2.9479   3.259366   3.259019     2.1761     0.0348     0.9271     0.1263    96.8907    34.9240 1.7655e+03 9.5400e-02   2407.000    34.9240    34.9194     6.1201    1502.68
   2441.357     2.9493     2.9497   3.259457   3.259112     2.1760     0.0366     0.9274     0.1264    96.8902    34.9237 1.7685e+03 9.5400e-02   2406.000    34.9237    34.9191     6.1188    1502.67
   2440.337     2.9500     2.9516   3.259485   3.259240     2.1763     0.0469     0.9293     0.1264    96.8902    34.9238 1.7670e+03 9.5400e-02   2405.000    34.9238    34.9192     6.1187    1502.65
   2439.316     2.9517     2.9524   3.259605   3.259292     2.1761     0.0407     0.9293     0.1264    96.8902    34.9238 1.7617e+03 9.5400e-02   2404.000    34.9238    34.9194     6.1171    1502.64
   2438.296     2.9537     2.9526   3.259754   3.259296     2.1769     0.0353     0.9292     0.1264    96.8902    34.9240 1.7499e+03 9.5400e-02   2403.000    34.9240    34.9196     6.1190    1502.64
   2437.275     2.9521     2.9512   3.259579   3.259142     2.1774     0.0461     0.9241     0.1264    96.8896    34.9241 1.7693e+03 9.5400e-02   2402.000    34.9241    34.9199     6.1202    1502.61
   2436.255     2.9526     2.9515   3.259567   3.259097     2.1777     0.0415     0.9241     0.1264    96.8902    34.9239 1.7962e+03 9.5400e-02   2401.000    34.9239    34.9194     6.1204    1502.60
   2435.235     2.9552     2.9538   3.259745   3.259223     2.1778     0.0469     0.9268     0.1263    96.8926    34.9237 1.8045e+03 9.5400e-02   2400.000    34.9237    34.9189     6.1195    1502.59
   2434.214     2.9589     2.9590   3.260048   3.259681     2.1782     0.0470     0.9271     0.1264    96.8902    34.9239 1.8052e+03 9.5400e-02   2399.000    34.9239    34.9194     6.1197    1502.59
   2433.194     2.9588     2.9597   3.260024   3.259719     2.1781     0.0470     0.9264     0.1264    96.8902    34.9242 1.8019e+03 9.5400e-02   2398.000    34.9242    34.9196     6.1183    1502.57
   2432.173     2.9593     2.9594   3.260017   3.259674     2.1786     0.0356     0.9268     0.1264    96.8902    34.9241 1.7961e+03 9.5400e-02   2397.000    34.9241    34.9199     6.1195    1502.56
   2431.153     2.9593     2.9594   3.259983   3.259618     2.1785     0.0348     0.9292     0.1264    96.8902    34.9241 1.7898e+03 9.5400e-02   2396.000    34.9241    34.9197     6.1184    1502.54
   2430.132     2.9601     2.9594   3.259993   3.259582     2.1788     0.0348     0.9321     0.1264    96.8902    34.9239 1.7825e+03 9.5400e-02   2395.000    34.9239    34.9197     6.1183    1502.53
   2429.112     2.9605     2.9604   3.259974   3.259600     2.1789     0.0348     0.9282     0.1265    96.8859    34.9237 1.7801e+03 9.5400e-02   2394.000    34.9237    34.9193     6.1181    1502.51
   2428.091     2.9612     2.9612   3.260015   3.259649     2.1794     0.0276     0.9270     0.1264    96.8896    34.9240 1.7854e+03 9.5400e-02   2393.000    34.9240    34.9195     6.1189    1502.50
   2427.071     2.9615     2.9615   3.260002   3.259644     2.1801     0.0334     0.9270     0.1265    96.8862    34.9239 1.8104e+03 9.5400e-02   2392.000    34.9239    34.9196     6.1207    1502.48
   2426.051     2.9632     2.9623   3.260089   3.259649     2.1802     0.0320     0.9249     0.1264    96.8902    34.9236 1.8137e+03 9.5400e-02   2391.000    34.9236    34.9194     6.1200    1502.47
   2425.030     2.9647     2.9640   3.260184   3.259731     2.1803     0.0468     0.9200     0.1264    96.8902    34.9237 1.8125e+03 9.5400e-02   2390.000    34.9237    34.9190     6.1195    1502.46
   2424.010     2.9672     2.9696   3.260390   3.260188     2.1809     0.0453     0.9200     0.1264    96.8902    34.9240 1.8027e+03 9.5400e-02   2389.000    34.9240    34.9190     6.1204    1502.45
   2422.989     2.9678     2.9685   3.260372   3.260133     2.1809     0.0224     0.9205     0.1264    96.8902    34.9236 1.7885e+03 9.5400e-02   2388.000    34.9236    34.9200     6.1196    1502.44
   2421.969     2.9695     2.9698   3.260514   3.260157     2.1810     0.0348     0.9322     0.1264    96.8902    34.9240 1.7759e+03 9.5400e-02   2387.000    34.9240    34.9194     6.1187    1502.43
   2420.948     2.9730     2.9728   3.260790   3.260404     2.1815     0.0348     0.9322     0.1264    96.8902    34.9241 1.7711e+03 9.5400e-02   2386.000    34.9241    34.9196     6.1190    1502.43
   2419.928     2.9737     2.9744   3.260813   3.260503     2.1819     0.0348     0.9262     0.1264    96.8902    34.9241 1.7723e+03 9.5400e-02   2385.000    34.9241    34.9197     6.1198    1502.41
   2418.908     2.9748     2.9744   3.260881   3.260472     2.1821     0.0348     0.9201     0.1264    96.8902    34.9242 1.7773e+03 9.5400e-02   2384.000    34.9242    34.9198     6.1194    1502.40
   2417.887     2.9755     2.9747   3.260883   3.260451     2.1823     0.0348     0.9200     0.1264    96.8902    34.9239 1.7833e+03 9.5400e-02   2383.000    34.9239    34.9197     6.1196    1502.38
   2416.867     2.9742     2.9754   3.260760   3.260463     2.1825     0.0348     0.9200     0.1264    96.8902    34.9244 1.7914e+03 9.5400e-02   2382.000    34.9244    34.9196     6.1195    1502.36
   2415.847     2.9760     2.9757   3.260834   3.260461     2.1827     0.0414     0.9236     0.1264    96.8902    34.9238 1.7985e+03 9.5400e-02   2381.000    34.9238    34.9197     6.1192    1502.35
   2414.826     2.9764     2.9758   3.260845   3.260446     2.1833     0.0408     0.9296     0.1263    96.8907    34.9240 1.8006e+03 9.5400e-02   2380.000    34.9240    34.9198     6.1205    1502.34
   2413.806     2.9768     2.9760   3.260820   3.260402     2.1835     0.0259     0.9261     0.1264    96.8901    34.9238 1.8197e+03 9.5400e-02   2379.000    34.9238    34.9196     6.1204    1502.32
   2412.785     2.9771     2.9765   3.260826   3.260385     2.1835     0.0341     0.9265     0.1263    96.8920    34.9240 1.8406e+03 9.5400e-02   2378.000    34.9240    34.9194     6.1198    1502.30
   2411.765     2.9781     2.9777   3.260871   3.260456     2.1834     0.0391     0.9265     0.1264    96.8901    34.9240 1.8602e+03 9.5400e-02   2377.000    34.9240    34.9194     6.1181    1502.29
   2410.745     2.9789     2.9793   3.260933   3.260582     2.1834     0.0468     0.9276     0.1264    96.8885    34.9243 1.8731e+03 9.5400e-02   2376.000    34.9243    34.9197     6.1172    1502.28
   2409.724     2.9801     2.9796   3.261002   3.260594     2.1835     0.0556     0.9265     0.1264    96.8901    34.9243 1.8812e+03 9.5400e-02   2375.000    34.9243    34.9200     6.1165    1502.27
   2408.704     2.9801     2.9794   3.260963   3.260530     2.1837     0.0528     0.9268     0.1264    96.8902    34.9244 1.8889e+03 9.5400e-02   2374.000    34.9244    34.9200     6.1167    1502.25
   2407.684     2.9814     2.9805   3.261064   3.260599     2.1838     0.0340     0.9277     0.1264    96.8902    34.9247 1.8887e+03 9.5400e-02   2373.000    34.9247    34.9200     6.1160    1502.24
   2406.663     2.9830     2.9811   3.261181   3.260618     2.1845     0.0249     0.9315     0.1264    96.8892    34.9249 1.8798e+03 9.5400e-02   2372.000    34.9249    34.9202     6.1173    1502.23
   2405.643     2.9837     2.9826   3.261186   3.260735     2.1851     0.0332     0.9281     0.1266    96.8858    34.9247 1.8658e+03 9.5400e-02   2371.000    34.9247    34.9204     6.1188    1502.21
   2404.623     2.9835     2.9828   3.261127   3.260714     2.1856     0.0235     0.9279     0.1265    96.8879    34.9247 1.8523e+03 9.5400e-02   2370.000    34.9247    34.9205     6.1200    1502.19
