ASSET_UID,Serial Number
CGCON-CWFPCP-99105,ML12991-05
CGCON-ECPM01-00002,2
CGCON-ECPM01-00015,15
CGCON-ECPM01-00016,3605-20018-0016
CGCON-ECPM01-00020,20
CGCON-ECPM01-50002,2
CGCON-EDCL17-00002,2
CGCON-EDCL17-00015,15
CGCON-EDCL17-00016,16
CGCON-EDCL17-00020,20
CGCON-EDCL17-50002,2
CGCON-GLDRCE-00247,247
CGCON-GLDRCE-00311,311
CGCON-GLDRCE-00312,312
CGCON-GLDRCE-00319,319
CGCON-GLDRCE-00320,320
CGCON-GLDRCE-00326,326
CGCON-GLDRCE-00327,327
CGCON-GLDRCE-00381,381
CGCON-GLDRCE-00382,382
CGCON-GLDRCE-00383,383
CGCON-GLDRCE-00384,384
CGCON-GLDRCE-00386,386
CGCON-GLDRCP-00335,335
CGCON-GLDRCP-00336,336
CGCON-GLDRCP-00339,339
CGCON-GLDRCP-00340,340
CGCON-GLDRCP-00374,374
CGCON-GLDRCP-00375,375
CGCON-GLDRCP-00376,376
CGCON-GLDRCP-00379,379
CGCON-GLDRCP-00380,380
CGCON-GLDRCP-00387,387
CGCON-GLDRCP-00388,388
CGCON-GLDRCP-00389,389
CGCON-GLDRCP-00564,564
CGCON-GLDRGP-00470,470
CGCON-GLDRGP-00514,514
CGCON-GLDRGP-00515,515
CGCON-GLDRGP-00528,528
CGCON-GLDRGP-00562,562
CGCON-GLDRGP-00563,563
CGCON-GLDRGP-00564,564
CGCON-GLDRGP-00565,565
CGCON-GLDRGP-00566,566
CGCON-GLDRGP-00575,575
CGCON-GLDRGP-00576,576
CGCON-GLDRGP-00577,577
CGCON-GLDRGP-00578,578
CGCON-GLDRGP-00580,580
CGCON-GLDRGP-00581,581
CGCON-GLDRGP-00583,583
CGCON-GLDROO-00276,276
CGCON-GLDROO-00361,361
CGCON-GLDROO-00362,362
CGCON-GLDROO-00363,363
CGCON-GLDROO-00364,364
CGCON-GLDROO-00365,365
CGCON-GLDROO-00453,453
CGCON-GLDROO-00469,469
CGCON-GLDROO-00470,470
CGCON-GLDROO-00477,477
CGCON-GLDROO-00478,478
CGCON-GLDROO-00484,484
CGCON-GLDROO-00485,485
CGCON-GLDROO-00486,486
CGCON-GLDROO-00493,493
CGCON-GLDROO-00494,494
CGCON-GLDROO-00495,495
