       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
    719.000     4.6066     4.6116   3.336748   3.337149     2.1553    -0.3854     0.3726    34.9318 8.5449e+02    710.849    34.9341    34.9334     5.8954    1480.86    27.6744    27.6733
    718.000     4.6275     4.6257   3.338753   3.338514     2.1551    -0.3816     0.3704    34.9348 8.4818e+02    709.862    34.9360    34.9351     5.8904    1480.93    27.6735    27.6731
    717.000     4.6246     4.6285   3.338266   3.338769     2.1535    -0.3940     0.3677    34.9346 8.3346e+02    708.875    34.9339    34.9357     5.8843    1480.90    27.6722    27.6732
    716.000     4.6222     4.6444   3.338347   3.340230     2.1541    -0.3938     0.3678    34.9353 8.3887e+02    707.888    34.9379    34.9365     5.8860    1480.88    27.6756    27.6721
    715.000     4.6497     4.6624   3.341053   3.342032     2.1547    -0.3938     0.3678    34.9366 8.4674e+02    706.901    34.9410    34.9391     5.8830    1480.98    27.6751    27.6721
    714.000     4.6683     4.6762   3.342704   3.343327     2.1541    -0.3938     0.3678    34.9376 8.5475e+02    705.914    34.9412    34.9402     5.8773    1481.04    27.6731    27.6715
    713.000     4.6784     4.6807   3.343558   3.343735     2.1532    -0.3938     0.3678    34.9386 8.6149e+02    704.927    34.9411    34.9407     5.8718    1481.06    27.6719    27.6714
    712.000     4.6808     4.6827   3.343740   3.343862     2.1524    -0.3938     0.3678    34.9392 8.6647e+02    703.940    34.9412    34.9406     5.8676    1481.06    27.6717    27.6710
    711.000     4.6822     4.6858   3.343847   3.344109     2.1519    -0.3938     0.3678    34.9393 8.6932e+02    702.953    34.9415    34.9408     5.8648    1481.05    27.6717    27.6708
    710.000     4.6896     4.6919   3.344638   3.344690     2.1514    -0.3938     0.3678    34.9401 8.7005e+02    701.966    34.9435    34.9416     5.8610    1481.06    27.6725    27.6708
    709.000     4.7039     4.7090   3.345912   3.346328     2.1508    -0.3938     0.3678    34.9409 8.6894e+02    700.979    34.9438    34.9433     5.8560    1481.10    27.6712    27.6702
    708.000     4.7163     4.7173   3.346966   3.347165     2.1496    -0.3938     0.3678    34.9420 8.6717e+02    699.992    34.9435    34.9448     5.8491    1481.14    27.6695    27.6704
    707.000     4.7137     4.7216   3.346766   3.347451     2.1476    -0.3806     0.3678    34.9424 8.6453e+02    699.005    34.9445    34.9441     5.8416    1481.11    27.6706    27.6694
    706.000     4.7110     4.7121   3.346452   3.346540     2.1464    -0.3822     0.3704    34.9432 8.4650e+02    698.018    34.9442    34.9441     5.8371    1481.09    27.6706    27.6704
    705.000     4.7067     4.7283   3.346017   3.348074     2.1469    -0.3943     0.3754    34.9427 8.4106e+02    697.031    34.9441    34.9453     5.8387    1481.05    27.6710    27.6696
    704.000     4.7180     4.7347   3.347267   3.348577     2.1471    -0.3938     0.3767    34.9441 8.4675e+02    696.044    34.9473    34.9451     5.8369    1481.08    27.6723    27.6687
    703.000     4.7366     4.7435   3.348864   3.349360     2.1471    -0.3938     0.3728    34.9443 8.5275e+02    695.057    34.9469    34.9454     5.8334    1481.14    27.6699    27.6679
    702.000     4.7409     4.7428   3.349083   3.349189     2.1476    -0.3938     0.3726    34.9440 8.5728e+02    694.070    34.9455    34.9447     5.8335    1481.14    27.6683    27.6674
    701.000     4.7422     4.7433   3.349091   3.349138     2.1484    -0.3938     0.3726    34.9434 8.6208e+02    693.083    34.9447    34.9441     5.8355    1481.13    27.6675    27.6669
    700.000     4.7427     4.7434   3.349066   3.349104     2.1494    -0.3766     0.3687    34.9431 8.6407e+02    692.096    34.9444    34.9441     5.8383    1481.12    27.6672    27.6669
    699.000     4.7427     4.7434   3.349021   3.349032     2.1502    -0.3742     0.3698    34.9432 8.6494e+02    691.109    34.9443    34.9437     5.8403    1481.10    27.6671    27.6666
    698.000     4.7429     4.7435   3.348984   3.348998     2.1511    -0.3743     0.3726    34.9432 8.6393e+02    690.122    34.9442    34.9438     5.8428    1481.08    27.6670    27.6666
    697.000     4.7430     4.7437   3.348950   3.348981     2.1516    -0.3932     0.3726    34.9433 8.6284e+02    689.135    34.9443    34.9438     5.8439    1481.07    27.6670    27.6666
    696.000     4.7433     4.7436   3.348913   3.348920     2.1519    -0.3775     0.3695    34.9433 8.6150e+02    688.148    34.9441    34.9438     5.8439    1481.05    27.6668    27.6665
    695.000     4.7431     4.7433   3.348863   3.348850     2.1531    -0.3834     0.3702    34.9436 8.5620e+02    687.161    34.9442    34.9439     5.8475    1481.04    27.6670    27.6667
    694.000     4.7405     4.7427   3.348483   3.348746     2.1536    -0.3888     0.3715    34.9431 8.4862e+02    686.173    34.9430    34.9437     5.8490    1481.01    27.6663    27.6666
    693.000     4.7330     4.7338   3.347616   3.347657     2.1548    -0.3900     0.3719    34.9417 8.4344e+02    685.186    34.9413    34.9409     5.8537    1480.96    27.6658    27.6654
    692.000     4.7234     4.7245   3.346400   3.346530     2.1569    -0.3787     0.3679    34.9390 8.4315e+02    684.199    34.9378    34.9381     5.8620    1480.90    27.6640    27.6641
    691.000     4.7174     4.7186   3.345693   3.345805     2.1598    -0.3925     0.3683    34.9368 8.4715e+02    683.212    34.9363    34.9363     5.8727    1480.85    27.6635    27.6634
    690.000     4.7159     4.7168   3.345433   3.345490     2.1620    -0.3938     0.3725    34.9360 8.5224e+02    682.225    34.9354    34.9351     5.8798    1480.83    27.6629    27.6626
    689.000     4.7162     4.7169   3.345394   3.345407     2.1652    -0.3938     0.3708    34.9355 8.5694e+02    681.238    34.9352    34.9345     5.8904    1480.81    27.6627    27.6622
    688.000     4.7167     4.7172   3.345372   3.345377     2.1673    -0.3938     0.3677    34.9351 8.6174e+02    680.251    34.9348    34.9343     5.8970    1480.80    27.6624    27.6620
    687.000     4.7167     4.7172   3.345330   3.345340     2.1701    -0.3918     0.3683    34.9352 8.6468e+02    679.264    34.9349    34.9345     5.9064    1480.78    27.6624    27.6621
    686.000     4.7165     4.7169   3.345295   3.345302     2.1750    -0.3785     0.3716    34.9353 8.5770e+02    678.277    34.9352    34.9349     5.9228    1480.77    27.6627    27.6624
    685.000     4.7168     4.7173   3.345238   3.345246     2.1766    -0.3944     0.3727    34.9349 8.4801e+02    677.290    34.9347    34.9343     5.9277    1480.75    27.6623    27.6619
    684.000     4.7170     4.7181   3.345230   3.345245     2.1778    -0.3938     0.3726    34.9350 8.4789e+02    676.302    34.9349    34.9340     5.9312    1480.73    27.6624    27.6615
    683.000     4.7183     4.7196   3.345273   3.345325     2.1782    -0.3938     0.3726    34.9346 8.4947e+02    675.315    34.9346    34.9338     5.9316    1480.72    27.6620    27.6612
    682.000     4.7196     4.7205   3.345327   3.345358     2.1790    -0.3938     0.3704    34.9343 8.5217e+02    674.328    34.9344    34.9338     5.9334    1480.71    27.6617    27.6611
    681.000     4.7203     4.7212   3.345335   3.345358     2.1794    -0.3938     0.3678    34.9343 8.5505e+02    673.341    34.9342    34.9335     5.9341    1480.70    27.6615    27.6608
    680.000     4.7206     4.7212   3.345287   3.345293     2.1794    -0.3842     0.3702    34.9340 8.5840e+02    672.354    34.9339    34.9334     5.9333    1480.68    27.6612    27.6607
    679.000     4.7205     4.7209   3.345224   3.345232     2.1794    -0.3744     0.3726    34.9339 8.6236e+02    671.367    34.9338    34.9335     5.9326    1480.66    27.6611    27.6608
    678.000     4.7202     4.7205   3.345176   3.345176     2.1806    -0.3845     0.3712    34.9341 8.6530e+02    670.380    34.9340    34.9337     5.9359    1480.65    27.6613    27.6610
    677.000     4.7202     4.7204   3.345132   3.345127     2.1819    -0.3805     0.3717    34.9341 8.5705e+02    669.392    34.9341    34.9337     5.9400    1480.63    27.6613    27.6610
    676.000     4.7222     4.7216   3.345237   3.345152     2.1831    -0.3763     0.3762    34.9336 8.4727e+02    668.405    34.9337    34.9333     5.9430    1480.62    27.6608    27.6605
    675.000     4.7233     4.7247   3.345282   3.345344     2.1830    -0.3742     0.3706    34.9334 8.5055e+02    667.418    34.9336    34.9328     5.9419    1480.61    27.6605    27.6598
    674.000     4.7257     4.7267   3.345411   3.345444     2.1831    -0.3743     0.3703    34.9329 8.5367e+02    666.431    34.9331    34.9324     5.9411    1480.60    27.6599    27.6592
    673.000     4.7265     4.7271   3.345426   3.345427     2.1841    -0.3785     0.3706    34.9328 8.5457e+02    665.444    34.9329    34.9323     5.9438    1480.59    27.6597    27.6591
    672.000     4.7279     4.7290   3.345511   3.345544     2.1849    -0.3940     0.3628    34.9326 8.5424e+02    664.457    34.9329    34.9321     5.9453    1480.58    27.6595    27.6587
    671.000     4.7315     4.7333   3.345804   3.345859     2.1856    -0.3788     0.3697    34.9321 8.5453e+02    663.469    34.9331    34.9318     5.9467    1480.58    27.6592    27.6580
    670.000     4.7407     4.7430   3.346586   3.346639     2.1863    -0.3757     0.3730    34.9315 8.5522e+02    662.482    34.9330    34.9312     5.9468    1480.60    27.6581    27.6564
    669.000     4.7459     4.7479   3.346939   3.347033     2.1875    -0.4144     0.3777    34.9310 8.5792e+02    661.495    34.9323    34.9313     5.9496    1480.60    27.6569    27.6559
    668.000     4.7519     4.7537   3.347408   3.347500     2.1892    -0.4029     0.3752    34.9308 8.6139e+02    660.508    34.9319    34.9311     5.9537    1480.61    27.6559    27.6551
    667.000     4.7555     4.7570   3.347690   3.347756     2.1895    -0.3930     0.3737    34.9308 8.6440e+02    659.521    34.9319    34.9311     5.9537    1480.61    27.6555    27.6547
    666.000     4.7597     4.7602   3.348002   3.348002     2.1904    -0.3929     0.3772    34.9306 8.6644e+02    658.533    34.9317    34.9312     5.9554    1480.61    27.6549    27.6544
    665.000     4.7605     4.7594   3.348006   3.347915     2.1907    -0.3937     0.3712    34.9309 8.6222e+02    657.546    34.9314    34.9314     5.9556    1480.59    27.6546    27.6547
    664.000     4.7635     4.7582   3.348271   3.347742     2.1910    -0.3767     0.3707    34.9308 8.4008e+02    656.559    34.9318    34.9312     5.9553    1480.59    27.6545    27.6546
    663.000     4.7653     4.7655   3.348339   3.348336     2.1907    -0.3839     0.3701    34.9311 8.3862e+02    655.572    34.9312    34.9310     5.9534    1480.58    27.6539    27.6537
    662.000     4.7698     4.7722   3.348828   3.348849     2.1909    -0.3877     0.3680    34.9310 8.4269e+02    654.585    34.9327    34.9304     5.9523    1480.59    27.6545    27.6524
    661.000     4.7772     4.7794   3.349359   3.349466     2.1912    -0.4126     0.3678    34.9306 8.4639e+02    653.597    34.9317    34.9306     5.9514    1480.60    27.6529    27.6518
    660.000     4.7797     4.7805   3.349513   3.349528     2.1914    -0.3961     0.3721    34.9304 8.4844e+02    652.610    34.9313    34.9307     5.9512    1480.59    27.6522    27.6516
    659.000     4.7805     4.7811   3.349528   3.349543     2.1912    -0.3939     0.3726    34.9305 8.5030e+02    651.623    34.9312    34.9307     5.9495    1480.58    27.6521    27.6516
    658.000     4.7810     4.7815   3.349525   3.349527     2.1912    -0.3938     0.3726    34.9305 8.5165e+02    650.636    34.9312    34.9306     5.9486    1480.56    27.6520    27.6515
    657.000     4.7810     4.7816   3.349479   3.349492     2.1915    -0.3938     0.3726    34.9305 8.5198e+02    649.648    34.9311    34.9306     5.9488    1480.55    27.6519    27.6515
    656.000     4.7814     4.7819   3.349468   3.349482     2.1912    -0.3938     0.3726    34.9305 8.5369e+02    648.661    34.9311    34.9307     5.9472    1480.53    27.6519    27.6514
    655.000     4.7818     4.7825   3.349480   3.349479     2.1916    -0.3938     0.3726    34.9306 8.5528e+02    647.674    34.9313    34.9305     5.9475    1480.52    27.6519    27.6513
    654.000     4.7840     4.7851   3.349601   3.349654     2.1915    -0.3938     0.3726    34.9303 8.5698e+02    646.687    34.9309    34.9304     5.9460    1480.51    27.6514    27.6508
    653.000     4.7861     4.7834   3.349721   3.349493     2.1924    -0.3842     0.3726    34.9306 8.4237e+02    645.699    34.9306    34.9308     5.9484    1480.50    27.6509    27.6514
    652.000     4.7860     4.7862   3.349705   3.349658     2.1943    -0.3939     0.3726    34.9305 8.2612e+02    644.712    34.9311    34.9303     5.9542    1480.48    27.6513    27.6507
    651.000     4.7915     4.7949   3.350324   3.350395     2.1953    -0.3938     0.3726    34.9303 8.2822e+02    643.725    34.9329    34.9303     5.9560    1480.49    27.6521    27.6496
    650.000     4.8068     4.8102   3.351574   3.351746     2.1955    -0.3938     0.3726    34.9297 8.3285e+02    642.737    34.9320    34.9304     5.9536    1480.54    27.6496    27.6480
    649.000     4.8139     4.8173   3.352106   3.352309     2.1959    -0.3938     0.3726    34.9296 8.3781e+02    641.750    34.9313    34.9301     5.9531    1480.55    27.6483    27.6469
    648.000     4.8180     4.8192   3.352423   3.352450     2.1963    -0.3938     0.3726    34.9295 8.4251e+02    640.763    34.9311    34.9303     5.9532    1480.55    27.6477    27.6468
    647.000     4.8206     4.8220   3.352606   3.352665     2.1962    -0.3938     0.3726    34.9296 8.4778e+02    639.776    34.9311    34.9303     5.9516    1480.54    27.6473    27.6466
