       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
   2913.000     2.3012     2.3057   3.207922   3.219281     1.6235    -0.3855     0.3489    34.7690 1.0143e+03   2865.790    34.7721    34.9048     5.6751    1507.69    27.7831    27.8891
   2912.000     2.3051     2.3099   3.208647   3.219575     1.6234    -0.3936     0.3494    34.7749 1.0095e+03   2864.813    34.7771    34.9043     5.6728    1507.70    27.7868    27.8884
   2911.000     2.3083     2.3119   3.208698   3.219712     1.6223    -0.3805     0.3505    34.7729 1.0085e+03   2863.836    34.7748    34.9043     5.6662    1507.69    27.7846    27.8882
   2910.000     2.3104     2.3123   3.209532   3.219707     1.6221    -0.3740     0.3486    34.7800 1.0117e+03   2862.859    34.7831    34.9042     5.6641    1507.69    27.7912    27.8881
   2909.000     2.3106     2.3137   3.211224   3.219783     1.6221    -0.3732     0.3512    34.8009 1.0168e+03   2861.882    34.8038    34.9041     5.6622    1507.70    27.8078    27.8879
   2908.000     2.3118     2.3148   3.211664   3.219847     1.6210    -0.3801     0.3520    34.8073 1.0205e+03   2860.904    34.8084    34.9041     5.6555    1507.70    27.8113    27.8878
   2907.000     2.3129     2.3158   3.211173   3.219893     1.6207    -0.3860     0.3512    34.8008 1.0201e+03   2859.927    34.8017    34.9041     5.6533    1507.68    27.8059    27.8877
   2906.000     2.3143     2.3208   3.211268   3.220300     1.6195    -0.3817     0.3524    34.8007 1.0140e+03   2858.950    34.8019    34.9042     5.6462    1507.67    27.8059    27.8874
   2905.000     2.3189     2.3234   3.211268   3.220495     1.6175    -0.3851     0.3505    34.7962 1.0073e+03   2857.973    34.7974    34.9043     5.6347    1507.66    27.8019    27.8872
   2904.000     2.3205     2.3252   3.212507   3.220623     1.6168    -0.3832     0.3490    34.8088 1.0072e+03   2856.996    34.8111    34.9044     5.6298    1507.67    27.8128    27.8871
   2903.000     2.3228     2.3288   3.213371   3.220913     1.6155    -0.3939     0.3509    34.8181 1.0123e+03   2856.018    34.8196    34.9044     5.6217    1507.67    27.8193    27.8869
   2902.000     2.3270     2.3343   3.214055   3.221357     1.6146    -0.3889     0.3524    34.8221 1.0180e+03   2855.041    34.8239    34.9044     5.6158    1507.68    27.8225    27.8864
   2901.000     2.3318     2.3380   3.214694   3.221690     1.6132    -0.3741     0.3489    34.8257 1.0221e+03   2854.064    34.8270    34.9050     5.6071    1507.69    27.8246    27.8866
   2900.000     2.3352     2.3411   3.214989   3.221924     1.6129    -0.3937     0.3491    34.8262 1.0226e+03   2853.087    34.8274    34.9050     5.6042    1507.69    27.8247    27.8864
   2899.000     2.3403     2.3450   3.215040   3.222256     1.6142    -0.3938     0.3484    34.8223 1.0179e+03   2852.109    34.8230    34.9054     5.6092    1507.69    27.8207    27.8863
   2898.000     2.3492     2.3568   3.214755   3.223301     1.6153    -0.4009     0.3489    34.8097 1.0107e+03   2851.132    34.8107    34.9059     5.6131    1507.69    27.8101    27.8858
   2897.000     2.3563     2.3651   3.215266   3.224019     1.6161    -0.3945     0.3488    34.8079 1.0090e+03   2850.155    34.8097    34.9062     5.6151    1507.70    27.8088    27.8854
   2896.000     2.3641     2.3751   3.216291   3.224923     1.6160    -0.3742     0.3501    34.8121 1.0114e+03   2849.178    34.8144    34.9070     5.6126    1507.73    27.8119    27.8852
   2895.000     2.3729     2.3817   3.217285   3.225483     1.6158    -0.3791     0.3492    34.8152 1.0148e+03   2848.200    34.8175    34.9072     5.6091    1507.75    27.8136    27.8848
   2894.000     2.3791     2.3839   3.218099   3.225631     1.6153    -0.3928     0.3490    34.8190 1.0178e+03   2847.223    34.8212    34.9071     5.6052    1507.77    27.8161    27.8845
   2893.000     2.3806     2.3843   3.218634   3.225628     1.6151    -0.3733     0.3492    34.8250 1.0202e+03   2846.246    34.8266    34.9071     5.6029    1507.76    27.8203    27.8845
   2892.000     2.3820     2.3878   3.218663   3.225912     1.6156    -0.3734     0.3487    34.8249 1.0202e+03   2845.269    34.8259    34.9073     5.6045    1507.75    27.8196    27.8844
   2891.000     2.3850     2.3908   3.218572   3.226139     1.6164    -0.3895     0.3482    34.8209 1.0170e+03   2844.291    34.8221    34.9073     5.6075    1507.74    27.8163    27.8841
   2890.000     2.3893     2.3920   3.218671   3.226182     1.6174    -0.3870     0.3485    34.8181 1.0116e+03   2843.314    34.8191    34.9071     5.6108    1507.74    27.8136    27.8838
   2889.000     2.3936     2.3999   3.219311   3.226856     1.6171    -0.3820     0.3489    34.8206 1.0115e+03   2842.337    34.8228    34.9072     5.6078    1507.75    27.8162    27.8833
   2888.000     2.3994     2.4097   3.220726   3.227746     1.6160    -0.3915     0.3485    34.8316 1.0148e+03   2841.360    34.8342    34.9081     5.6005    1507.77    27.8248    27.8832
   2887.000     2.4108     2.4186   3.221538   3.228531     1.6155    -0.3750     0.3492    34.8301 1.0169e+03   2840.382    34.8324    34.9086     5.5952    1507.80    27.8225    27.8829
   2886.000     2.4173     2.4231   3.222301   3.228928     1.6151    -0.3730     0.3495    34.8328 1.0193e+03   2839.405    34.8351    34.9090     5.5912    1507.81    27.8241    27.8828
   2885.000     2.4209     2.4249   3.222589   3.229065     1.6154    -0.3742     0.3486    34.8339 1.0206e+03   2838.428    34.8352    34.9092     5.5918    1507.81    27.8239    27.8829
   2884.000     2.4232     2.4262   3.222201   3.229155     1.6170    -0.3736     0.3482    34.8283 1.0212e+03   2837.450    34.8287    34.9094     5.5989    1507.80    27.8185    27.8829
   2883.000     2.4243     2.4239   3.219508   3.228893     1.6214    -0.3814     0.3483    34.7948 1.0133e+03   2836.473    34.7955    34.9091     5.6210    1507.74    27.7918    27.8828
   2882.000     2.4232     2.4250   3.221173   3.228935     1.6196    -0.3937     0.3505    34.8127 1.0147e+03   2835.496    34.8171    34.9089     5.6107    1507.75    27.8092    27.8826
   2881.000     2.4251     2.4300   3.223613   3.229355     1.6180    -0.3938     0.3486    34.8419 1.0188e+03   2834.518    34.8451    34.9091     5.6008    1507.77    27.8314    27.8824
   2880.000     2.4301     2.4363   3.224287   3.229895     1.6171    -0.3751     0.3489    34.8468 1.0221e+03   2833.541    34.8483    34.9094     5.5942    1507.78    27.8336    27.8821
   2879.000     2.4341     2.4392   3.224451   3.230128     1.6161    -0.3743     0.3486    34.8456 1.0250e+03   2832.564    34.8465    34.9096     5.5882    1507.78    27.8318    27.8820
   2878.000     2.4362     2.4408   3.224523   3.230248     1.6157    -0.3743     0.3486    34.8446 1.0265e+03   2831.586    34.8456    34.9098     5.5852    1507.77    27.8309    27.8820
   2877.000     2.4387     2.4412   3.224318   3.230247     1.6163    -0.3728     0.3464    34.8404 1.0243e+03   2830.609    34.8409    34.9099     5.5870    1507.76    27.8270    27.8820
   2876.000     2.4401     2.4414   3.223431   3.230223     1.6179    -0.3745     0.3506    34.8287 1.0126e+03   2829.632    34.8292    34.9098     5.5947    1507.73    27.8174    27.8819
   2875.000     2.4405     2.4420   3.224053   3.230209     1.6169    -0.3743     0.3487    34.8344 1.0130e+03   2828.654    34.8367    34.9095     5.5885    1507.73    27.8235    27.8816
   2874.000     2.4437     2.4500   3.225746   3.230909     1.6156    -0.3743     0.3491    34.8523 1.0166e+03   2827.677    34.8543    34.9099     5.5799    1507.75    27.8373    27.8813
   2873.000     2.4501     2.4590   3.226315   3.231695     1.6143    -0.3743     0.3448    34.8537 1.0193e+03   2826.700    34.8548    34.9102     5.5716    1507.76    27.8372    27.8808
   2872.000     2.4562     2.4648   3.226296   3.232183     1.6129    -0.3826     0.3463    34.8478 1.0203e+03   2825.722    34.8485    34.9105     5.5632    1507.76    27.8316    27.8805
   2871.000     2.4614     2.4665   3.226458   3.232316     1.6126    -0.3940     0.3477    34.8444 1.0199e+03   2824.745    34.8455    34.9107     5.5601    1507.76    27.8288    27.8806
   2870.000     2.4640     2.4683   3.226540   3.232450     1.6132    -0.3929     0.3416    34.8433 1.0176e+03   2823.768    34.8442    34.9108     5.5621    1507.75    27.8275    27.8805
   2869.000     2.4655     2.4701   3.226358   3.232587     1.6147    -0.3748     0.3482    34.8402 1.0167e+03   2822.790    34.8408    34.9111     5.5689    1507.74    27.8247    27.8806
   2868.000     2.4667     2.4717   3.226223   3.232690     1.6153    -0.3743     0.3491    34.8376 1.0183e+03   2821.813    34.8384    34.9111     5.5710    1507.72    27.8226    27.8804
   2867.000     2.4690     2.4764   3.226444   3.233069     1.6148    -0.3743     0.3482    34.8382 1.0206e+03   2820.835    34.8390    34.9111     5.5677    1507.72    27.8229    27.8800
   2866.000     2.4710     2.4802   3.226398   3.233382     1.6133    -0.3915     0.3489    34.8362 1.0220e+03   2819.858    34.8369    34.9114     5.5587    1507.71    27.8210    27.8799
   2865.000     2.4742     2.4865   3.226324   3.233904     1.6100    -0.3736     0.3489    34.8324 1.0212e+03   2818.881    34.8331    34.9114     5.5413    1507.70    27.8177    27.8794
   2864.000     2.4778     2.4893   3.226340   3.234128     1.6060    -0.3743     0.3493    34.8291 1.0202e+03   2817.903    34.8299    34.9115     5.5203    1507.69    27.8148    27.8793
   2863.000     2.4834     2.4910   3.226786   3.234256     1.6019    -0.3795     0.3476    34.8283 1.0187e+03   2816.926    34.8298    34.9118     5.4980    1507.70    27.8143    27.8794
   2862.000     2.4874     2.4956   3.227769   3.234622     1.5987    -0.3935     0.3454    34.8362 1.0156e+03   2815.948    34.8379    34.9117     5.4801    1507.71    27.8205    27.8790
   2861.000     2.4916     2.4987   3.228310   3.234906     1.5953    -0.3921     0.3489    34.8393 1.0126e+03   2814.971    34.8404    34.9124     5.4620    1507.71    27.8221    27.8792
   2860.000     2.4956     2.5015   3.228667   3.235124     1.5928    -0.3749     0.3492    34.8398 1.0134e+03   2813.994    34.8409    34.9125     5.4477    1507.72    27.8222    27.8790
   2859.000     2.4995     2.5057   3.228885   3.235465     1.5907    -0.3927     0.3495    34.8387 1.0187e+03   2813.016    34.8398    34.9126     5.4359    1507.71    27.8210    27.8788
   2858.000     2.5021     2.5085   3.229473   3.235697     1.5901    -0.3727     0.3493    34.8433 1.0248e+03   2812.039    34.8447    34.9128     5.4316    1507.71    27.8247    27.8787
   2857.000     2.5053     2.5130   3.230003   3.236079     1.5901    -0.3733     0.3492    34.8466 1.0285e+03   2811.062    34.8481    34.9132     5.4302    1507.72    27.8271    27.8787
   2856.000     2.5100     2.5192   3.230568   3.236611     1.5905    -0.3879     0.3491    34.8492 1.0281e+03   2810.084    34.8504    34.9134     5.4306    1507.72    27.8286    27.8783
   2855.000     2.5152     2.5243   3.230514   3.237040     1.5914    -0.3796     0.3435    34.8440 1.0224e+03   2809.107    34.8447    34.9136     5.4340    1507.72    27.8236    27.8781
   2854.000     2.5200     2.5246   3.230253   3.236969     1.5930    -0.3902     0.3475    34.8362 1.0140e+03   2808.129    34.8370    34.9130     5.4411    1507.71    27.8170    27.8775
   2853.000     2.5216     2.5251   3.230512   3.237092     1.5939    -0.3939     0.3448    34.8376 1.0122e+03   2807.152    34.8388    34.9143     5.4442    1507.71    27.8184    27.8785
   2852.000     2.5236     2.5299   3.231170   3.237452     1.5942    -0.3938     0.3493    34.8434 1.0179e+03   2806.174    34.8451    34.9141     5.4448    1507.71    27.8232    27.8779
   2851.000     2.5273     2.5331   3.232035   3.237712     1.5950    -0.3760     0.3482    34.8503 1.0244e+03   2805.197    34.8520    34.9143     5.4471    1507.71    27.8284    27.8778
   2850.000     2.5305     2.5350   3.232620   3.237855     1.5951    -0.3839     0.3485    34.8546 1.0295e+03   2804.219    34.8561    34.9144     5.4463    1507.72    27.8315    27.8778
   2849.000     2.5322     2.5362   3.233203   3.237939     1.5951    -0.3936     0.3501    34.8607 1.0317e+03   2803.242    34.8618    34.9146     5.4451    1507.71    27.8359    27.8778
   2848.000     2.5333     2.5373   3.233077   3.238007     1.5964    -0.3938     0.3511    34.8591 1.0285e+03   2802.264    34.8596    34.9147     5.4507    1507.70    27.8340    27.8778
   2847.000     2.5358     2.5384   3.232323   3.238080     1.5996    -0.3934     0.3477    34.8483 1.0144e+03   2801.287    34.8484    34.9149     5.4659    1507.68    27.8248    27.8778
   2846.000     2.5375     2.5379   3.231990   3.237964     1.6023    -0.3774     0.3495    34.8415 1.0103e+03   2800.310    34.8430    34.9145     5.4786    1507.66    27.8204    27.8776
