       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFLTurbWETntu0      Sal00       Spar      DepSM      Sal00      Sal11 Sbeox0ML/L       SvCM  Sigma-é00  Sigma-é11
     73.000     5.2341     5.2329   3.359491   3.359705     2.5268     0.0293     0.4167    34.8798 7.1281e+02     72.290    34.8773    34.8809     6.5369    1472.72    27.5511    27.5541
     74.000     5.1962     5.1980   3.355575   3.356293     2.5237    -0.0869     0.4166    34.8778 7.1048e+02     73.280    34.8712    34.8775     6.5346    1472.58    27.5508    27.5556
     75.000     5.1622     5.1629   3.352618   3.353028     2.5212    -0.1005     0.4122    34.8770 7.0499e+02     74.270    34.8720    34.8760     6.5328    1472.46    27.5555    27.5586
     76.000     5.1463     5.1461   3.351353   3.351560     2.5202    -0.1129     0.4075    34.8768 6.9610e+02     75.260    34.8734    34.8761     6.5330    1472.41    27.5585    27.5606
     77.000     5.1600     5.1550   3.352585   3.352483     2.5178    -0.1043     0.4667    34.8755 7.0857e+02     76.250    34.8728    34.8769     6.5241    1472.48    27.5564    27.5602
     78.000     5.1419     5.1418   3.351129   3.351365     2.5165    -0.1091     0.5895    34.8766 7.1658e+02     77.240    34.8743    34.8773     6.5236    1472.43    27.5598    27.5621
     79.000     5.1302     5.1302   3.350059   3.350322     2.5151    -0.1443     0.4264    34.8763 7.0910e+02     78.230    34.8737    34.8768     6.5218    1472.39    27.5606    27.5631
     80.000     5.1293     5.1287   3.350077   3.350226     2.5140    -0.1581     0.4050    34.8756 6.9069e+02     79.220    34.8743    34.8767     6.5192    1472.41    27.5613    27.5632
     81.000     5.1168     5.1172   3.349023   3.349322     2.5123    -0.1492     0.4068    34.8765 6.9610e+02     80.210    34.8747    34.8777     6.5166    1472.37    27.5630    27.5653
     82.000     5.1104     5.1116   3.348496   3.348833     2.5102    -0.1935     0.4100    34.8759 7.0675e+02     81.200    34.8747    34.8774     6.5118    1472.36    27.5638    27.5658
     83.000     5.1051     5.1047   3.347971   3.348217     2.5069    -0.1708     0.4043    34.8762 7.1215e+02     82.190    34.8737    34.8770     6.5027    1472.36    27.5636    27.5663
     84.000     5.0944     5.0943   3.347279   3.347503     2.5059    -0.2031     0.4033    34.8777 7.0692e+02     83.180    34.8764    34.8791     6.5020    1472.33    27.5670    27.5692
     85.000     5.0856     5.0855   3.346504   3.346733     2.5043    -0.2292     0.4018    34.8774 7.0143e+02     84.170    34.8760    34.8788     6.4992    1472.31    27.5678    27.5700
     86.000     5.0757     5.0757   3.345647   3.345881     2.5017    -0.2163     0.4063    34.8773 7.0312e+02     85.160    34.8760    34.8787     6.4934    1472.29    27.5689    27.5710
     87.000     5.0821     5.0808   3.346640   3.346623     2.5012    -0.2239     0.3974    34.8794 7.0776e+02     86.150    34.8802    34.8814     6.4911    1472.34    27.5716    27.5726
