       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
    918.815     3.8443     3.8439   3.273270   3.273469     1.8340     0.0292     0.0848    4.94147    908.000    34.8886    34.8913    1480.64    4.94135  1031.9545  1031.9567     -0.957    7.29698 0.0000e+00
    917.801     3.8452     3.8451   3.273322   3.273518     1.8338     0.0364     0.0847    4.93995    907.000    34.8887    34.8912    1480.63    4.93983  1031.9500  1031.9518     -1.010    7.29681 0.0000e+00
    916.787     3.8476     3.8482   3.273507   3.273776     1.8342     0.0358     0.0848    4.94035    906.000    34.8889    34.8915    1480.62    4.94022  1031.9451  1031.9470     -0.975    7.29636 0.0000e+00
    915.773     3.8498     3.8504   3.273709   3.273983     1.8344     0.0348     0.0849    4.94015    905.000    34.8894    34.8921    1480.61    4.94003  1031.9406  1031.9426     -0.899    7.29593 0.0000e+00
    914.759     3.8510     3.8510   3.273782   3.274006     1.8343     0.0281     0.0851    4.93896    904.000    34.8896    34.8922    1480.60    4.93884  1031.9359  1031.9380     -0.982    7.29572 0.0000e+00
    913.745     3.8523     3.8523   3.273855   3.274078     1.8346     0.0307     0.0849    4.93927    903.000    34.8897    34.8922    1480.59    4.93915  1031.9312  1031.9332     -1.155    7.29549 0.0000e+00
    912.731     3.8541     3.8555   3.274004   3.274310     1.8345     0.0354     0.0851    4.93795    902.000    34.8900    34.8921    1480.58    4.93783  1031.9266  1031.9281     -1.249    7.29514 0.0000e+00
    911.716     3.8599     3.8617   3.274523   3.274834     1.8348     0.0362     0.0853    4.93753    901.000    34.8906    34.8924    1480.59    4.93741  1031.9216  1031.9229     -1.222    7.29407 0.0000e+00
    910.702     3.8679     3.8692   3.275241   3.275522     1.8352     0.0364     0.0853    4.93732    900.000    34.8911    34.8930    1480.61    4.93720  1031.9165  1031.9178     -1.058    7.29261 0.0000e+00
    909.688     3.8739     3.8765   3.275827   3.276231     1.8354     0.0352     0.0849    4.93665    899.000    34.8923    34.8943    1480.62    4.93653  1031.9120  1031.9132     -0.777    7.29148 0.0000e+00
    908.674     3.8805     3.8815   3.276395   3.276708     1.8353     0.0355     0.0849    4.93466    898.000    34.8925    34.8951    1480.63    4.93454  1031.9067  1031.9087     -0.716    7.29028 0.0000e+00
    907.660     3.8834     3.8843   3.276681   3.276984     1.8347     0.0358     0.0850    4.93158    897.000    34.8933    34.8960    1480.63    4.93145  1031.9023  1031.9043     -1.016    7.28971 0.0000e+00
    906.646     3.8838     3.8853   3.276681   3.277052     1.8346     0.0355     0.0852    4.93024    896.000    34.8934    34.8963    1480.61    4.93011  1031.8977  1031.8998     -1.266    7.28963 0.0000e+00
    905.632     3.8853     3.8859   3.276765   3.277053     1.8343     0.0395     0.0853    4.92840    895.000    34.8934    34.8962    1480.60    4.92827  1031.8929  1031.8950     -1.399    7.28937 0.0000e+00
    904.618     3.8858     3.8860   3.276772   3.277030     1.8345     0.0467     0.0850    4.92865    894.000    34.8935    34.8963    1480.59    4.92853  1031.8883  1031.8905     -1.385    7.28928 0.0000e+00
    903.604     3.8861     3.8862   3.276758   3.277002     1.8337     0.0470     0.0854    4.92495    893.000    34.8935    34.8963    1480.57    4.92483  1031.8837  1031.8859     -1.189    7.28922 0.0000e+00
    902.590     3.8864     3.8869   3.276760   3.277036     1.8337     0.0372     0.0856    4.92421    892.000    34.8937    34.8964    1480.56    4.92409  1031.8792  1031.8812     -0.778    7.28916 0.0000e+00
    901.576     3.8882     3.8898   3.276891   3.277238     1.8330     0.0361     0.0851    4.92077    891.000    34.8939    34.8963    1480.55    4.92064  1031.8744  1031.8761     -0.687    7.28883 0.0000e+00
    900.562     3.8932     3.8946   3.277332   3.277662     1.8333     0.0358     0.0868    4.92053    890.000    34.8944    34.8968    1480.55    4.92040  1031.8695  1031.8713     -1.055    7.28791 0.0000e+00
    899.548     3.8966     3.8980   3.277651   3.277965     1.8337     0.0361     0.0857    4.92062    889.000    34.8950    34.8973    1480.55    4.92050  1031.8650  1031.8666     -1.269    7.28726 0.0000e+00
