       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
    112.104     6.8112     6.8099   3.522266   3.522353     2.0184     0.0446     0.0989    4.68816    111.000    35.0675    35.0698    1479.75    4.68797  1028.0122  1028.0142      0.930    6.78807 0.0000e+00
    113.115     6.7995     6.7982   3.521195   3.521240     2.0167     0.0408     0.0990    4.68490    112.000    35.0670    35.0689    1479.72    4.68471  1028.0181  1028.0197      1.170    6.78994 0.0000e+00
    114.125     6.7958     6.7946   3.520916   3.520919     2.0159     0.0409     0.0989    4.68341    113.000    35.0672    35.0685    1479.72    4.68322  1028.0233  1028.0245      1.243    6.79052 0.0000e+00
    115.135     6.7903     6.7890   3.520503   3.520567     2.0152     0.0246     0.0989    4.68264    114.000    35.0677    35.0698    1479.72    4.68246  1028.0292  1028.0310      1.238    6.79136 0.0000e+00
    116.145     6.7842     6.7829   3.520002   3.520022     2.0155     0.0373     0.0989    4.68472    115.000    35.0679    35.0694    1479.71    4.68454  1028.0348  1028.0361      1.168    6.79232 0.0000e+00
    117.156     6.7802     6.7789   3.519702   3.519723     2.0154     0.0417     0.0989    4.68551    116.000    35.0682    35.0697    1479.71    4.68533  1028.0402  1028.0415      0.985    6.79294 0.0000e+00
    118.166     6.7749     6.7738   3.519254   3.519265     2.0154     0.0317     0.0992    4.68673    117.000    35.0681    35.0694    1479.71    4.68654  1028.0454  1028.0466      0.599    6.79378 0.0000e+00
    119.176     6.7690     6.7677   3.518790   3.518828     2.0153     0.0478     0.0989    4.68777    118.000    35.0685    35.0702    1479.70    4.68758  1028.0513  1028.0529      0.737    6.79471 0.0000e+00
    120.186     6.7616     6.7601   3.518183   3.518176     2.0156     0.0409     0.0993    4.68998    119.000    35.0689    35.0703    1479.69    4.68979  1028.0573  1028.0586      1.286    6.79587 0.0000e+00
    121.197     6.7617     6.7605   3.518218   3.518229     2.0153     0.0438     0.0998    4.68987    120.000    35.0686    35.0700    1479.71    4.68968  1028.0616  1028.0629      1.489    6.79586 0.0000e+00
    122.207     6.7573     6.7560   3.517864   3.517909     2.0154     0.0424     0.0996    4.69110    121.000    35.0687    35.0705    1479.70    4.69091  1028.0669  1028.0685      1.450    6.79656 0.0000e+00
    123.217     6.7570     6.7559   3.517863   3.517884     2.0157     0.0232     0.1004    4.69268    122.000    35.0685    35.0699    1479.72    4.69249  1028.0714  1028.0726      1.201    6.79661 0.0000e+00
    124.228     6.7537     6.7525   3.517597   3.517635     2.0160     0.0182     0.0995    4.69482    123.000    35.0683    35.0700    1479.72    4.69464  1028.0764  1028.0779      0.807    6.79713 0.0000e+00
    125.238     6.7499     6.7487   3.517331   3.517362     2.0160     0.0427     0.0995    4.69566    124.000    35.0688    35.0704    1479.73    4.69548  1028.0819  1028.0833      0.778    6.79772 0.0000e+00
    126.248     6.7408     6.7393   3.516565   3.516610     2.0163     0.0412     0.0991    4.69821    125.000    35.0691    35.0711    1479.71    4.69803  1028.0880  1028.0898      1.128    6.79915 0.0000e+00
    127.258     6.7333     6.7324   3.515883   3.515989     2.0162     0.0416     0.0995    4.69940    126.000    35.0686    35.0708    1479.69    4.69921  1028.0934  1028.0952      1.307    6.80035 0.0000e+00
    128.269     6.7261     6.7246   3.515187   3.515241     2.0159     0.0409     0.0993    4.69986    127.000    35.0679    35.0699    1479.68    4.69968  1028.0984  1028.1002      1.262    6.80154 0.0000e+00
    129.279     6.7186     6.7173   3.514467   3.514532     2.0150     0.0426     0.0990    4.69865    128.000    35.0670    35.0690    1479.67    4.69846  1028.1034  1028.1051      1.057    6.80277 0.0000e+00
    130.289     6.6907     6.6888   3.511788   3.511914     2.0146     0.0136     0.0992    4.70149    129.000    35.0652    35.0686    1479.57    4.70131  1028.1105  1028.1134      0.871    6.80727 0.0000e+00
    131.300     6.6762     6.6751   3.510433   3.510477     2.0136     0.0283     0.0991    4.70059    130.000    35.0645    35.0662    1479.53    4.70041  1028.1166  1028.1180      0.818    6.80961 0.0000e+00
    132.310     6.6695     6.6682   3.509803   3.509851     2.0122     0.0339     0.0989    4.69769    131.000    35.0639    35.0658    1479.52    4.69750  1028.1217  1028.1233      0.848    6.81071 0.0000e+00
    133.320     6.6602     6.6583   3.508954   3.508968     2.0112     0.0343     0.0986    4.69613    132.000    35.0635    35.0656    1479.50    4.69595  1028.1272  1028.1292      0.999    6.81221 0.0000e+00
    134.331     6.6506     6.6494   3.508098   3.508157     2.0106     0.0407     0.0986    4.69600    133.000    35.0633    35.0652    1479.48    4.69581  1028.1331  1028.1348      1.173    6.81374 0.0000e+00
    135.341     6.6383     6.6369   3.506947   3.507083     2.0097     0.0422     0.0986    4.69545    134.000    35.0626    35.0655    1479.45    4.69527  1028.1388  1028.1414      1.250    6.81574 0.0000e+00
    136.351     6.6259     6.6247   3.505804   3.505868     2.0088     0.0412     0.0988    4.69459    135.000    35.0620    35.0640    1479.41    4.69441  1028.1448  1028.1465      1.159    6.81773 0.0000e+00
    137.362     6.6218     6.6205   3.505430   3.505481     2.0067     0.0230     0.0989    4.68918    136.000    35.0616    35.0635    1479.41    4.68900  1028.1497  1028.1512      0.933    6.81841 0.0000e+00
    138.372     6.6123     6.6110   3.504567   3.504606     2.0057     0.0352     0.0989    4.68780    137.000    35.0612    35.0630    1479.39    4.68762  1028.1553  1028.1567      0.805    6.81994 0.0000e+00
    139.382     6.6065     6.6053   3.504050   3.504068     2.0048     0.0145     0.0988    4.68622    138.000    35.0609    35.0624    1479.38    4.68604  1028.1604  1028.1617      0.989    6.82088 0.0000e+00
    140.393     6.5970     6.5956   3.503185   3.503290     2.0044     0.0233     0.0987    4.68687    139.000    35.0605    35.0631    1479.36    4.68669  1028.1660  1028.1683      1.153    6.82242 0.0000e+00
    141.403     6.5870     6.5856   3.502283   3.502342     2.0035     0.0226     0.0985    4.68583    140.000    35.0602    35.0622    1479.34    4.68565  1028.1719  1028.1736      1.149    6.82403 0.0000e+00
    142.413     6.5798     6.5785   3.501640   3.501696     2.0028     0.0140     0.0981    4.68500    141.000    35.0599    35.0618    1479.33    4.68481  1028.1772  1028.1790      0.994    6.82519 0.0000e+00
    143.424     6.5776     6.5762   3.501474   3.501472     2.0014     0.0364     0.0984    4.68141    142.000    35.0598    35.0612    1479.33    4.68123  1028.1820  1028.1833      0.796    6.82555 0.0000e+00
    144.434     6.5746     6.5733   3.501236   3.501255     1.9997     0.0217     0.0984    4.67717    143.000    35.0597    35.0612    1479.34    4.67699  1028.1870  1028.1884      0.872    6.82603 0.0000e+00
    145.445     6.5706     6.5695   3.500904   3.500937     1.9984     0.0190     0.0977    4.67412    144.000    35.0596    35.0611    1479.34    4.67394  1028.1921  1028.1935      1.141    6.82668 0.0000e+00
    146.455     6.5709     6.5694   3.500958   3.500981     1.9974     0.0187     0.0986    4.67168    145.000    35.0594    35.0611    1479.36    4.67150  1028.1965  1028.1981      1.263    6.82664 0.0000e+00
    147.465     6.5646     6.5635   3.500563   3.500634     1.9961     0.0472     0.0985    4.66896    146.000    35.0609    35.0628    1479.35    4.66877  1028.2032  1028.2048      1.229    6.82757 0.0000e+00
    148.476     6.5523     6.5508   3.499416   3.499515     1.9953     0.0260     0.0980    4.66838    147.000    35.0603    35.0629    1479.32    4.66820  1028.2090  1028.2113      1.061    6.82957 0.0000e+00
    149.486     6.5384     6.5367   3.498066   3.498105     1.9942     0.0128     0.0978    4.66735    148.000    35.0590    35.0611    1479.28    4.66717  1028.2146  1028.2166      0.870    6.83186 0.0000e+00
