       PrDM      T090C      T190C      C0S/m      C1S/m    Sbeox0V  FlECO-AFL   CStarAt0 Sbeox0ML/L      DepSM      Sal00      Sal11       SvDM Sbeox0ML/L  Density00  Density11     Dz/dtM  OxsatML/L       Flag
    109.056     4.7733     4.7722   3.323686   3.323574     2.0086     0.0470     0.0977    4.90610    108.000    34.9258    34.9258    1471.38    4.90595  1028.1478  1028.1479      1.034    7.13142 0.0000e+00
    110.067     4.7746     4.7742   3.323793   3.323826     2.0086     0.0435     0.0973    4.90650    109.000    34.9252    34.9260    1471.41    4.90635  1028.1519  1028.1526      0.789    7.13123 0.0000e+00
    111.077     4.7713     4.7708   3.323467   3.323542     2.0091     0.0443     0.0971    4.90944    110.000    34.9243    34.9257    1471.41    4.90930  1028.1563  1028.1573      0.626    7.13184 0.0000e+00
    112.087     4.7500     4.7487   3.321433   3.321570     2.0097     0.0453     0.0971    4.91461    111.000    34.9225    34.9255    1471.33    4.91446  1028.1619  1028.1644      0.838    7.13561 0.0000e+00
    113.097     4.7342     4.7329   3.320019   3.319990     2.0097     0.0429     0.0963    4.91733    112.000    34.9221    34.9231    1471.28    4.91719  1028.1681  1028.1691      1.010    7.13837 0.0000e+00
    114.107     4.7338     4.7327   3.320050   3.320011     2.0091     0.0399     0.0963    4.91605    113.000    34.9223    34.9230    1471.30    4.91591  1028.1731  1028.1737      1.015    7.13843 0.0000e+00
    115.117     4.7298     4.7286   3.319759   3.319805     2.0091     0.0461     0.0957    4.91708    114.000    34.9226    34.9244    1471.30    4.91694  1028.1783  1028.1799      1.053    7.13910 0.0000e+00
    116.127     4.7220     4.7205   3.319059   3.319040     2.0092     0.0458     0.0959    4.91919    115.000    34.9221    34.9234    1471.28    4.91904  1028.1836  1028.1848      1.198    7.14048 0.0000e+00
    117.137     4.7191     4.7176   3.318857   3.318836     2.0089     0.0457     0.0964    4.91925    116.000    34.9223    34.9236    1471.29    4.91910  1028.1887  1028.1899      1.383    7.14098 0.0000e+00
    118.147     4.7136     4.7123   3.318455   3.318378     2.0090     0.0470     0.0963    4.92084    117.000    34.9228    34.9232    1471.28    4.92070  1028.1945  1028.1949      1.480    7.14189 0.0000e+00
    119.157     4.7173     4.7174   3.318901   3.318977     2.0087     0.0294     0.0973    4.92017    118.000    34.9235    34.9243    1471.32    4.92002  1028.1992  1028.1998      1.410    7.14121 0.0000e+00
    120.167     4.7192     4.7185   3.319117   3.319146     2.0087     0.0337     0.0967    4.92043    119.000    34.9235    34.9246    1471.34    4.92029  1028.2037  1028.2046      1.097    7.14089 0.0000e+00
    121.177     4.7230     4.7211   3.319510   3.319402     2.0087     0.0407     0.0960    4.92054    120.000    34.9236    34.9243    1471.37    4.92040  1028.2080  1028.2089      0.473    7.14023 0.0000e+00
    122.188     4.7397     4.7370   3.321329   3.320921     2.0085     0.0361     0.0967    4.91831    121.000    34.9267    34.9248    1471.46    4.91816  1028.2133  1028.2120      0.978    7.13719 0.0000e+00
    123.198     4.7538     4.7529   3.322815   3.322836     2.0080     0.0223     0.0959    4.91554    122.000    34.9287    34.9298    1471.54    4.91540  1028.2178  1028.2189      1.468    7.13467 0.0000e+00
    124.208     4.7524     4.7515   3.322766   3.322759     2.0086     0.0226     0.0952    4.91824    123.000    34.9290    34.9299    1471.55    4.91810  1028.2229  1028.2238      1.654    7.13489 0.0000e+00
    125.218     4.7579     4.7570   3.323385   3.323323     2.0087     0.0226     0.0961    4.91844    124.000    34.9299    34.9301    1471.59    4.91829  1028.2277  1028.2279      1.649    7.13390 0.0000e+00
    126.228     4.7467     4.7422   3.322209   3.322523     2.0076     0.0226     0.0956    4.91713    125.000    34.9274    34.9358    1471.55    4.91698  1028.2317  1028.2389      1.496    7.13595 0.0000e+00
    127.238     4.6902     4.6874   3.316869   3.316849     2.0071     0.0340     0.0960    4.92354    126.000    34.9240    34.9268    1471.34    4.92340  1028.2402  1028.2428      1.216    7.14589 0.0000e+00
    128.248     4.6789     4.6771   3.315742   3.315706     2.0054     0.0413     0.0960    4.92013    127.000    34.9222    34.9237    1471.30    4.91998  1028.2448  1028.2462      0.899    7.14793 0.0000e+00
    129.258     4.6709     4.6696   3.315001   3.314968     2.0049     0.0421     0.0961    4.92005    128.000    34.9215    34.9224    1471.29    4.91991  1028.2498  1028.2507      0.771    7.14936 0.0000e+00
    130.269     4.6702     4.6692   3.315055   3.315024     2.0055     0.0252     0.0957    4.92264    129.000    34.9222    34.9230    1471.30    4.92250  1028.2551  1028.2559      0.785    7.14944 0.0000e+00
    131.279     4.6703     4.6699   3.315163   3.315238     2.0062     0.0318     0.0964    4.92574    130.000    34.9229    34.9242    1471.32    4.92559  1028.2604  1028.2614      0.785    7.14940 0.0000e+00
    132.289     4.6660     4.6645   3.314787   3.314814     2.0063     0.0420     0.0958    4.92733    131.000    34.9225    34.9243    1471.32    4.92719  1028.2653  1028.2668      0.895    7.15016 0.0000e+00
    133.299     4.6491     4.6478   3.313195   3.313262     2.0061     0.0391     0.0953    4.92958    132.000    34.9212    34.9233    1471.26    4.92944  1028.2708  1028.2726      1.212    7.15316 0.0000e+00
    134.309     4.6329     4.6311   3.311649   3.311750     2.0060     0.0419     0.0954    4.93191    133.000    34.9196    34.9227    1471.21    4.93177  1028.2761  1028.2787      1.457    7.15605 0.0000e+00
    135.319     4.6169     4.6162   3.310147   3.310353     2.0056     0.0367     0.0977    4.93317    134.000    34.9184    34.9215    1471.16    4.93303  1028.2816  1028.2842      1.522    7.15889 0.0000e+00
    136.330     4.6112     4.6101   3.309709   3.309642     2.0051     0.0283     0.0973    4.93294    135.000    34.9187    34.9191    1471.15    4.93280  1028.2872  1028.2877      1.386    7.15986 0.0000e+00
    137.340     4.6110     4.6098   3.309769   3.309764     2.0049     0.0311     0.0964    4.93315    136.000    34.9191    34.9202    1471.17    4.93301  1028.2922  1028.2932      1.052    7.15988 0.0000e+00
    138.350     4.6173     4.6164   3.310503   3.310459     2.0055     0.0297     0.0960    4.93470    137.000    34.9205    34.9209    1471.21    4.93456  1028.2972  1028.2977      0.696    7.15872 0.0000e+00
    139.360     4.6222     4.6211   3.311082   3.311064     2.0070     0.0228     0.0965    4.93984    138.000    34.9216    34.9225    1471.25    4.93970  1028.3022  1028.3031      0.805    7.15782 0.0000e+00
    140.370     4.6204     4.6194   3.311012   3.311011     2.0073     0.0277     0.0957    4.94144    139.000    34.9221    34.9231    1471.26    4.94130  1028.3076  1028.3085      1.138    7.15811 0.0000e+00
    141.381     4.6201     4.6191   3.311051   3.311037     2.0070     0.0406     0.0956    4.94115    140.000    34.9223    34.9232    1471.27    4.94101  1028.3124  1028.3132      1.277    7.15814 0.0000e+00
    142.391     4.6147     4.6137   3.310562   3.310659     2.0065     0.0255     0.0961    4.94088    141.000    34.9217    34.9239    1471.27    4.94074  1028.3173  1028.3191      1.225    7.15911 0.0000e+00
    143.401     4.6062     4.6050   3.309798   3.309836     2.0057     0.0232     0.0943    4.94014    142.000    34.9212    34.9229    1471.25    4.94000  1028.3225  1028.3240      0.973    7.16061 0.0000e+00
    144.411     4.5907     4.5890   3.308310   3.308356     2.0049     0.0226     0.0947    4.94020    143.000    34.9197    34.9219    1471.20    4.94006  1028.3278  1028.3297      0.675    7.16339 0.0000e+00
    145.421     4.5600     4.5582   3.305378   3.305467     2.0046     0.0307     0.0948    4.94390    144.000    34.9171    34.9200    1471.08    4.94376  1028.3339  1028.3364      0.933    7.16885 0.0000e+00
    146.432     4.5547     4.5537   3.304998   3.304961     2.0037     0.0406     0.0943    4.94229    145.000    34.9177    34.9183    1471.08    4.94215  1028.3397  1028.3403      1.289    7.16975 0.0000e+00
    147.442     4.5552     4.5541   3.305123   3.305132     2.0037     0.0438     0.0936    4.94287    146.000    34.9181    34.9194    1471.10    4.94273  1028.3446  1028.3457      1.456    7.16965 0.0000e+00
    148.452     4.5501     4.5490   3.304723   3.304747     2.0034     0.0303     0.0938    4.94322    147.000    34.9183    34.9197    1471.09    4.94308  1028.3500  1028.3512      1.420    7.17053 0.0000e+00
    149.462     4.5622     4.5610   3.306062   3.305877     2.0033     0.0330     0.0938    4.94178    148.000    34.9207    34.9197    1471.16    4.94164  1028.3552  1028.3546      1.157    7.16831 0.0000e+00
    150.473     4.5612     4.5608   3.305994   3.306052     2.0039     0.0427     0.0938    4.94451    149.000    34.9203    34.9214    1471.18    4.94437  1028.3597  1028.3606      0.712    7.16849 0.0000e+00
